X: (19580, 20, 84)
Y: (19580, 77)
Device: cpu
Epoch 166 | Train 0.026298 | Val 0.033923 | Pred 0.018326 | Latent 0.002299 | Recon 0.013298
Epoch 167 | Train 0.026656 | Val 0.033793 | Pred 0.017835 | Latent 0.002243 | Recon 0.013715
Epoch 168 | Train 0.027358 | Val 0.031852 | Pred 0.017065 | Latent 0.002357 | Recon 0.012430
Epoch 169 | Train 0.026505 | Val 0.033139 | Pred 0.017560 | Latent 0.002338 | Recon 0.013240
Epoch 170 | Train 0.026721 | Val 0.034668 | Pred 0.018855 | Latent 0.002349 | Recon 0.013464
Epoch 171 | Train 0.026729 | Val 0.033778 | Pred 0.017914 | Latent 0.002234 | Recon 0.013630
Epoch 172 | Train 0.026321 | Val 0.032264 | Pred 0.017074 | Latent 0.002118 | Recon 0.013072
Epoch 173 | Train 0.026251 | Val 0.034677 | Pred 0.018979 | Latent 0.002271 | Recon 0.013427
Epoch 174 | Train 0.026349 | Val 0.033335 | Pred 0.018001 | Latent 0.002255 | Recon 0.013078
Epoch 175 | Train 0.026123 | Val 0.030761 | Pred 0.016242 | Latent 0.002114 | Recon 0.012404
Epoch 176 | Train 0.025706 | Val 0.034801 | Pred 0.018704 | Latent 0.002225 | Recon 0.013872
Epoch 177 | Train 0.025963 | Val 0.037278 | Pred 0.020608 | Latent 0.002320 | Recon 0.014350
Epoch 178 | Train 0.026700 | Val 0.032091 | Pred 0.017241 | Latent 0.002244 | Recon 0.012605
Epoch 179 | Train 0.025830 | Val 0.031818 | Pred 0.016939 | Latent 0.002206 | Recon 0.012674
Epoch 180 | Train 0.025741 | Val 0.033296 | Pred 0.018277 | Latent 0.002217 | Recon 0.012802
Epoch 181 | Train 0.026515 | Val 0.030830 | Pred 0.016692 | Latent 0.002227 | Recon 0.011911
Epoch 182 | Train 0.025338 | Val 0.032311 | Pred 0.017015 | Latent 0.002161 | Recon 0.013135
Epoch 183 | Train 0.025720 | Val 0.031983 | Pred 0.017368 | Latent 0.002218 | Recon 0.012396
Epoch 184 | Train 0.025368 | Val 0.033023 | Pred 0.017325 | Latent 0.002186 | Recon 0.013513
Epoch 185 | Train 0.025464 | Val 0.031240 | Pred 0.016612 | Latent 0.002142 | Recon 0.012486
Epoch 186 | Train 0.025776 | Val 0.033305 | Pred 0.017876 | Latent 0.002288 | Recon 0.013141
Epoch 187 | Train 0.025443 | Val 0.030678 | Pred 0.016590 | Latent 0.002146 | Recon 0.011942
Epoch 188 | Train 0.024917 | Val 0.030483 | Pred 0.016448 | Latent 0.002079 | Recon 0.011957
Epoch 189 | Train 0.024772 | Val 0.036381 | Pred 0.019726 | Latent 0.002352 | Recon 0.014303
