Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ywjya7u4
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_024246-ywjya7u4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825452
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/ywjya7u4
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 182 | Train 0.025368 | Val 0.031622 | Pred 0.017345 | Latent 0.002278 | Recon 0.011999
Epoch 183 | Train 0.025421 | Val 0.030422 | Pred 0.016555 | Latent 0.002073 | Recon 0.011795
Epoch 184 | Train 0.023786 | Val 0.030609 | Pred 0.016821 | Latent 0.002150 | Recon 0.011638
Epoch 185 | Train 0.023941 | Val 0.029765 | Pred 0.016125 | Latent 0.002102 | Recon 0.011538
Epoch 186 | Train 0.023790 | Val 0.028664 | Pred 0.015461 | Latent 0.002050 | Recon 0.011152
Epoch 187 | Train 0.023514 | Val 0.038232 | Pred 0.022328 | Latent 0.002640 | Recon 0.013265
Epoch 188 | Train 0.025946 | Val 0.041585 | Pred 0.024470 | Latent 0.002558 | Recon 0.014558
Epoch 189 | Train 0.025347 | Val 0.028966 | Pred 0.015879 | Latent 0.002094 | Recon 0.010993
Epoch 190 | Train 0.023429 | Val 0.029412 | Pred 0.016312 | Latent 0.002205 | Recon 0.010895
Epoch 191 | Train 0.023710 | Val 0.029214 | Pred 0.015830 | Latent 0.002091 | Recon 0.011293
Epoch 192 | Train 0.023615 | Val 0.033044 | Pred 0.018403 | Latent 0.002183 | Recon 0.012458
Epoch 193 | Train 0.023735 | Val 0.029681 | Pred 0.016109 | Latent 0.002072 | Recon 0.011500
Epoch 194 | Train 0.023434 | Val 0.034785 | Pred 0.019379 | Latent 0.002457 | Recon 0.012950
